transaction_id,product_name,price,event_time
721,Smartphone,1600.18,2026-05-05 18:40:03
833,Laptop,1337.55,2026-05-05 18:40:03
129,Monitor,911.14,2026-05-05 18:40:03
278,Tablet,1715.47,2026-05-05 18:40:03
559,Smartphone,,2026-05-05 18:40:03
464,Smartphone,1324.04,2026-05-05 18:40:03
942,smartphone,590.91,2026-05-05 18:40:03
144,Smartphone,681.34,2026-05-05 18:40:03
971,smartphone,515.35,2026-05-05 18:40:03
651,Tablet,1241.34,2026-05-05 18:40:03
651,Tablet,1241.34,2026-05-05 18:40:03
730,headphones,131.87,2026-05-05 18:40:03
896,Headphones,519.84,2026-05-05 18:40:03
356,Monitor,,2026-05-05 18:40:03
952,Keyboard,520.32,2026-05-05 18:40:03
612,Tablet,233.23,2026-05-05 18:40:03
612,Tablet,233.23,2026-05-05 18:40:03
582,Tablet,,2026-05-05 18:40:03
590,Monitor,1946.26,2026-05-05 18:40:03
373,Keyboard,380.27,2026-05-05 18:40:03
502,Smartphone,1323.86,2026-05-05 18:40:03
