transaction_id,product_name,price,event_time
191,Monitor,752.02,2026-05-05 18:39:48
765,Headphones,271.26,2026-05-05 18:39:48
607,Tablet,314.97,2026-05-05 18:39:48
991,Monitor,,2026-05-05 18:39:48
991,Monitor,,2026-05-05 18:39:48
298,headphones,430.56,2026-05-05 18:39:48
606,Laptop,635.05,2026-05-05 18:39:48
541,Laptop,1230.65,2026-05-05 18:39:48
541,Laptop,1230.65,2026-05-05 18:39:48
584,Smartphone,751.18,2026-05-05 18:39:48
584,Smartphone,751.18,2026-05-05 18:39:48
368,Keyboard,1964.26,2026-05-05 18:39:48
782,Headphones,1796.4,2026-05-05 18:39:48
384,Keyboard,443.48,2026-05-05 18:39:48
801,Laptop,,2026-05-05 18:39:48
393,Smartphone,990.61,2026-05-05 18:39:48
207,Monitor,1350.24,2026-05-05 18:39:48
802,Monitor,762.95,2026-05-05 18:39:48
802,Monitor,762.95,2026-05-05 18:39:48
779,Laptop,345.97,2026-05-05 18:39:48
779,Laptop,345.97,2026-05-05 18:39:48
743,Monitor,,2026-05-05 18:39:48
910,Keyboard,,2026-05-05 18:39:48
910,Keyboard,,2026-05-05 18:39:48
209,Laptop,634.23,2026-05-05 18:39:48
381,Monitor,595.78,2026-05-05 18:39:48
722,smartphone,557.1,2026-05-05 18:39:48
670,Tablet,1036.66,2026-05-05 18:39:48
670,Tablet,1036.66,2026-05-05 18:39:48
177,Monitor,,2026-05-05 18:39:48
