transaction_id,product_name,price,event_time
769,Keyboard,391.18,2026-05-05 18:40:18
817,Headphones,950.52,2026-05-05 18:40:18
817,Headphones,950.52,2026-05-05 18:40:18
810,Keyboard,,2026-05-05 18:40:18
929,Smartphone,,2026-05-05 18:40:18
655,Keyboard,1829.79,2026-05-05 18:40:18
918,Headphones,891.64,2026-05-05 18:40:18
487,Headphones,1435.65,2026-05-05 18:40:18
471,Laptop,642.75,2026-05-05 18:40:18
906,Tablet,1803.07,2026-05-05 18:40:18
253,Tablet,1196.3,2026-05-05 18:40:18
800,Monitor,1373.2,2026-05-05 18:40:18
200,Monitor,798.7,2026-05-05 18:40:18
200,Monitor,798.7,2026-05-05 18:40:18
495,tablet,435.86,2026-05-05 18:40:18
683,Tablet,420.86,2026-05-05 18:40:18
683,Tablet,420.86,2026-05-05 18:40:18
183,Monitor,,2026-05-05 18:40:18
693,Tablet,1009.03,2026-05-05 18:40:18
599,Keyboard,609.84,2026-05-05 18:40:18
