transaction_id,product_name,price,event_time
444,Laptop,1249.88,2026-05-05 18:39:53
432,Tablet,859.87,2026-05-05 18:39:53
158,Monitor,735.51,2026-05-05 18:39:53
158,Monitor,735.51,2026-05-05 18:39:53
316,Smartphone,571.58,2026-05-05 18:39:53
270,Smartphone,515.12,2026-05-05 18:39:53
784,Headphones,1813.27,2026-05-05 18:39:53
170,Tablet,,2026-05-05 18:39:53
203,Keyboard,1781.47,2026-05-05 18:39:53
684,laptop,54.03,2026-05-05 18:39:53
684,laptop,54.03,2026-05-05 18:39:53
435,Laptop,655.28,2026-05-05 18:39:53
377,Keyboard,1325.66,2026-05-05 18:39:53
340,Tablet,,2026-05-05 18:39:53
165,Smartphone,,2026-05-05 18:39:53
562,Tablet,336.58,2026-05-05 18:39:53
562,Tablet,336.58,2026-05-05 18:39:53
237,laptop,399.9,2026-05-05 18:39:53
991,Headphones,332.14,2026-05-05 18:39:53
341,Headphones,1642.51,2026-05-05 18:39:53
