transaction_id,product_name,price,event_time
512,Tablet,,2026-05-05 18:39:58
176,keyboard,288.66,2026-05-05 18:39:58
224,Keyboard,659.69,2026-05-05 18:39:58
855,Tablet,1036.95,2026-05-05 18:39:58
855,Tablet,1036.95,2026-05-05 18:39:58
474,Laptop,,2026-05-05 18:39:58
307,Headphones,,2026-05-05 18:39:58
711,Headphones,526.83,2026-05-05 18:39:58
744,Laptop,206.59,2026-05-05 18:39:58
495,Laptop,1216.77,2026-05-05 18:39:58
495,Laptop,1216.77,2026-05-05 18:39:58
956,tablet,342.18,2026-05-05 18:39:58
929,Keyboard,,2026-05-05 18:39:58
955,Monitor,372.3,2026-05-05 18:39:58
836,laptop,849.24,2026-05-05 18:39:58
341,Laptop,1041.52,2026-05-05 18:39:58
697,Smartphone,,2026-05-05 18:39:58
265,Headphones,1834.31,2026-05-05 18:39:58
775,keyboard,1780.91,2026-05-05 18:39:58
775,keyboard,1780.91,2026-05-05 18:39:58
461,Keyboard,1640.8,2026-05-05 18:39:58
253,Keyboard,1658.34,2026-05-05 18:39:58
963,Monitor,1306.89,2026-05-05 18:39:58
