transaction_id,product_name,price,event_time
233,Monitor,534.6,2026-05-05 18:39:43
340,Smartphone,1061.49,2026-05-05 18:39:43
116,Laptop,495.43,2026-05-05 18:39:43
259,Keyboard,135.61,2026-05-05 18:39:43
261,Smartphone,,2026-05-05 18:39:43
371,Keyboard,253.18,2026-05-05 18:39:43
624,keyboard,233.37,2026-05-05 18:39:43
656,headphones,266.31,2026-05-05 18:39:43
633,Monitor,1402.14,2026-05-05 18:39:43
553,Smartphone,954.49,2026-05-05 18:39:43
785,smartphone,1394.2,2026-05-05 18:39:43
340,Laptop,1209.96,2026-05-05 18:39:43
340,Laptop,1209.96,2026-05-05 18:39:43
298,Headphones,759.77,2026-05-05 18:39:43
260,Monitor,293.34,2026-05-05 18:39:43
580,Smartphone,877.02,2026-05-05 18:39:43
737,Monitor,1886.21,2026-05-05 18:39:43
737,Monitor,1886.21,2026-05-05 18:39:43
203,Keyboard,981.28,2026-05-05 18:39:43
986,Laptop,432.01,2026-05-05 18:39:43
